name,aliases,degree,fam,cooc,mentions,manual_cat
Jeremiah 38:6,0,382,0,153,99,3
Confusiones,0,45,0,21,9,4
"Bread Alone,49",0,173,0,84,1,3
“Poll,0,54,0,19,20,5
Timothy Counsel,0,50,0,22,10,2
Quienes,0,556,0,275,87,4
Charles F. Middleton Collection,0,153,0,63,2,3
√ mlk,0,64,0,17,14,5
cerré despacio la puerta,0,29,0,12,1,4
Mysterienreligionen,0,63,0,27,2,4
"id=\aside1_p1\"">“La Resurrección""",0,31,0,15,2,5
C. Christensen,0,36,0,17,1,1
Elizabeth G. Dulany,0,65,0,20,1,1
Silla,0,388,0,160,42,3
Gretel,0,98,0,34,1,1
Matthew 6:15.28,0,24,0,5,6,3
Zec 2:8,0,58,0,14,1,3
The Mia Maids,0,6,0,2,1,3
Overview Grief,0,66,0,19,9,3
D11:369,0,62,0,12,11,5
Babylonian Prayer,0,151,0,55,18,3
Matthew 7:16–17,0,21,0,8,1,3
Archaeologie(Einsiedeln,0,43,0,13,1,5
Chorus Trim,0,8,0,2,1,5
Benjamin E. âThe âOne,0,132,0,57,7,5
Colorado Amo,0,40,0,22,1,5
Rachmaninoff,0,26,0,13,1,1
E. Sanz-García,0,108,0,62,5,1
Jay E. “Spirit,0,104,0,48,2,5
Bitia,0,43,0,34,1,1
prepararme,0,42,0,26,3,4
Así volvió Esaú,0,18,0,11,1,4
Jesusâ cross,0,40,0,14,6,5
Christine Torres Lagunbay,0,53,0,18,2,1
Lynette Burke Hale,0,2,0,0,1,1
Recognizing Learn,0,10,0,4,1,5
Maria J. Johnston,0,52,0,23,3,1
Daniel 7:24,0,35,0,6,8,3
Â­Ronald K. Esplin,0,45,0,16,1,2
“ Nuestro Padre,0,31,0,13,7,5
John 1:39,0,714,0,230,179,3
Sheber,0,741,1,453,151,1
"Gary M.,",0,76,0,35,7,2
el élder Hubermann Bien Aime,0,2,0,0,1,2
Ro 15:18,0,0,0,0,0,3
Every Scouter,0,23,0,11,1,3
Zoey Diede,0,22,0,0,11,1
Rose Marinoni,0,17,0,7,1,1
Francis Schuessler Fiorenza,0,60,0,20,1,1
Entonces Satanás,0,53,0,24,3,4
Tell Fekherye,0,59,0,15,2,3
John 12:1-8) Damsel,0,137,0,67,40,5
Lunn,0,1080,0,341,158,1
Francis Fukuyama’s,0,23,0,5,3,2
Conforme Dios,0,33,0,20,1,4
Lebana le-ba'-na,0,91,0,25,1,2
James Woodrie,0,46,0,14,1,1
S.D. Lucas,0,8,0,7,1,1
Wilton,0,193,0,80,2,1
Lesson 2 - “,0,90,0,19,5,5
Andrew Kearse,0,19,0,9,1,1
Lapaya,0,1,0,0,1,1
Ch’oi,0,59,0,22,1,1
Steven L. 1985,0,195,0,93,3,2
L. D. S. Millennial Star,0,126,0,26,1,3
Utah Bishops,0,160,0,62,1,3
Read Luke 5:17–26,0,37,0,11,9,5
Alma 3:14–19,0,22,0,5,5,3
Ahlander,0,18,0,10,1,1
Elder Martin,0,97,0,36,4,1
Fred Peterson,0,44,0,8,1,1
Terrence Vinson,0,62,0,32,1,1
Kiss Kissing,0,62,0,14,19,3
Así ganó David,0,20,0,10,1,4
C. Parents,0,80,0,14,39,5
Eleanor F. Williamson,0,4,0,0,2,1
Serge P.,0,43,0,13,8,2
ram Aramaic,0,562,0,201,166,3
Anutua,0,67,0,27,1,1
Jesus Christ - Faith,0,38,0,12,1,3
Kussy Suku Machado,0,50,0,17,1,1
Brant A. Gardner,0,2801,0,962,313,1
“Petroline Jorgine Pedersdatter Gaarden,0,64,0,39,2,2
Peter O. Peterson,0,58,0,21,4,1
Ernest Ashton Smit,0,109,0,37,1,1
GEE Daniel,0,100,0,47,15,2
Richard Kok Leong Ho,0,46,0,21,2,1
Sears Roebuck,0,23,0,13,5,3
Aull,0,151,0,69,1,1
Gordon B. Teachings,0,258,0,110,5,2
Northbridge,0,64,0,23,1,3
William D. Reynolds,0,47,0,19,2,1
Appendix B. Table 1,0,19,0,5,1,5
Señor Emanuel,0,58,0,25,7,1
Aron Ralston³,0,29,0,9,10,2
Matthew 14:33,0,206,0,68,52,3
Robert Ingersoll,0,61,0,18,2,1
Shuho Takayama and Ana-Lisa Clark Mullen,0,2,0,0,1,2
Elder Freeman,0,42,0,15,1,1
Psalm 12:7,0,55,0,16,9,3
Jer 38:21,0,19,0,9,2,3
"ed.,Tertullian’s Treatise",0,78,0,33,9,5
William Rollosson,0,77,0,44,5,1
Elder Duane B. Gerrard,0,52,0,19,2,1
Clarissa M. R. Taggart)â,0,90,0,57,1,2
"L.S.,Weigand",0,114,0,25,1,2
Misdeeds 8,0,4,0,0,1,5
Unforgiving Servant,0,26,0,7,2,3
Cubita en Guaynabo,0,43,0,19,1,3
Matthew 6:14–15,0,518,0,149,197,3
Sacerdocio de Melquisedec. Mas,0,36,0,19,4,5
Quítatela,0,9,0,6,1,4
Theaters,0,33,0,20,1,4
Grant Gunnell and Alice Gunnell,0,29,0,20,1,2
Elder Pieper,0,74,0,32,4,1
Kay Brown,0,181,0,64,17,1
Kenez,0,58,0,22,7,1
Elton Dobson,0,81,0,35,1,1
Thomas C. Romney,0,180,0,75,3,1
Mateo 3:5–8,0,29,0,12,11,3
Overthrows Faith,0,17,0,7,1,5
Mary Ann y Amelia,0,36,0,20,1,2
José Smith: He,0,61,0,29,2,5
terminaré,0,18,0,8,1,4
Jesus Christ - Russell M. Nelson,0,139,0,42,38,2
compartía,0,25,0,16,3,4
Andrew Peck,0,229,0,76,2,1
Literary Kinship,0,0,0,0,0,3
Mishnah Pesahim 10:1â7,0,78,0,31,1,3
Couple,0,41,0,15,3,4
John bare,0,96,0,30,11,5
Rossiter,0,18,0,7,1,1
milagro”⁵. Al,0,25,0,10,1,5
Tanya Spackman,0,899,0,310,229,1
Derek Bowen,0,74,0,23,2,1
TG Superstitions,0,268,0,123,49,3
John 8:33,0,209,0,57,103,3
Lucas 13:11–17 ¿Cómo,0,22,0,8,7,5
Abbot,0,76,0,32,2,3
Cristo’,0,79,0,33,18,5
poseo,0,462,0,187,78,4
Norbert Lohfink,0,32,0,11,10,1
Zina Dennis,0,56,0,29,1,1
"David F., ed",0,97,0,36,1,2
Poratha po-ra'-tha,0,0,0,0,0,2
Mark 1:29–30,0,37,0,9,4,3
Rene Riding,0,4,0,0,2,1
á½ ÏÎ¿Ï ÏÏÎµÎ¯ÏÎµÏÎ±Î¹ á½ Î»ÏÎ³Î¿Ï,0,22,0,10,1,5
Apostle A. H. Cannon,0,174,0,64,1,1
acompañar,0,30,0,15,3,4
Luke 2:40–52 Lesson,0,58,0,23,12,5
Ethan A. Moore,0,227,0,181,2,1
Glens Falls,0,31,0,7,3,3
Paula DePaolo,0,4,0,0,2,1
Graham Greene’s,0,22,0,8,3,2
fuisteis rebeldes,0,11,0,6,1,4
Synchronous History,0,19,0,3,1,3
Paula Kraemer,0,42,0,11,2,1
Junius F. Wells,0,232,0,113,10,1
Roxana Margarita,0,90,0,32,5,1
Horace,0,1508,0,621,58,1
Swinder,0,80,0,38,1,1
F. Wayne Glaus,0,99,0,41,1,1
Ward Clerks(published,0,59,0,29,1,5
Elder Guzmán,0,47,0,24,1,1
Darren O.,0,58,0,22,3,2
boznay,0,1,0,0,1,5
Robert L. Webb,0,101,0,50,2,1
Mike Wilson,0,117,0,58,3,1
Barlow,0,1147,0,442,51,1
Kathryn H. Shirts,0,630,0,270,6,1
Pocatello,0,52,0,26,5,3
Ex 20:1-26,0,85,0,15,2,3
“Despertad,0,63,0,38,5,5
